N,m,glfops,bandwitdh(GB/S)
8, 160, 0.626826, 3.77036
16, 320, 2.74462, 16.4774
24, 480, 7.21683, 43.3121
32, 640, 7.6042, 45.6317
40, 800, 5.93849, 35.6342
48, 960, 5.76077, 34.5668
56, 1120, 7.91681, 47.5031
64, 1280, 9.0632, 54.3811
72, 1440, 13.8897, 83.3402
80, 1600, 10.3295, 61.9781
88, 1760, 12.0478, 72.2884
96, 1920, 5.83146, 34.9893
104, 2080, 4.98316, 29.8993
112, 2240, 10.3021, 61.8131
120, 2400, 7.36623, 44.1978
128, 2560, 5.15271, 30.9165
136, 2720, 7.39901, 44.3944
144, 2880, 6.18869, 37.1324
152, 3040, 9.81537, 58.8926
