N,m,glfops,bandwitdh(GB/S),h2d
8, 160, 0.491048, 2.95365, 4.47994e-05
16, 320, 4.18124, 25.1022, 0.000116832
24, 480, 14.0186, 84.1335, 0.00030168
32, 640, 28.6737, 172.067, 0.000606723
40, 800, 32.4733, 194.858, 0.00114145
48, 960, 30.4075, 182.457, 0.00184663
56, 1120, 34.9164, 209.508, 0.0029315
64, 1280, 40.6854, 244.121, 0.00483138
72, 1440, 43.3654, 260.2, 0.00637448
80, 1600, 46.1095, 276.663, 0.00873787
88, 1760, 47.9098, 287.464, 0.0116337
96, 1920, 49.234, 295.409, 0.0150796
104, 2080, 49.8669, 299.205, 0.0268612
112, 2240, 50.574, 303.448, 0.0303204
120, 2400, 51.0833, 306.503, 0.0495714
128, 2560, 50.5758, 303.457, 0.0617133
136, 2720, 50.643, 303.86, 0.0718992
144, 2880, 51.0017, 306.012, 0.0853792
152, 3040, 51.3903, 308.344, 0.10054
